dataset,method,n,failed,mse_mean,mse_p95,mse_max,max_squared_error_mean,max_squared_error_p95,max_squared_error_max,max_squared_error_valid_count,max_squared_error_missing_count,fit_pass_rate,reference_mse_mean,reference_mse_max,reference_max_squared_error_mean,reference_max_squared_error_p95,reference_max_squared_error_max,reference_max_squared_error_valid_count,reference_max_squared_error_missing_count,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
UJI,kang_sparse_2015_adaptation,20,0,2.4125811376071646e-05,4.8105371799665295e-05,4.8463634853681e-05,0.0005365146941822779,0.001034976772269765,0.0013405281124925198,20,0,1.0,6.434034066493956e-05,0.00019251294097280463,0.0007123309735078146,0.0014746785477044889,0.00147509199014825,20,0,0.3,18.5,,,,,,782.4965229519876,
UJI,luo_linf_de_2022_adaptation,20,0,2.8568708186114902e-05,4.598890013809429e-05,4.884649070023368e-05,0.00041416329845234194,0.0010807226029664364,0.0013940950820870521,20,0,1.0,6.834637475487031e-05,0.00023412931661338795,0.0005705518298111368,0.0015371506705521832,0.0015960511002471687,20,0,0.45,10.45,,,,,,2560.4143108037533,
NaturalEarth,ours,20,0,0.00013675594884321053,0.00040849192072769784,0.0014867169470356445,0.0010168845274772357,0.0036866291945383883,0.007797907630442076,20,0,0.6,0.0001389349336008557,0.0015209557050141138,0.0010940380911860952,0.003907879241604421,0.008276640946178415,20,0,0.7,28.8,,,,,,14.343046300000001,12.40924
NaturalEarth,park_dominant_point_2007_adaptation,20,0,0.0001531103612379319,0.0006405548471864486,0.0012877312084049394,0.001337661347876796,0.005371116593721522,0.0059175925517870745,20,0,0.8,0.0001566028869691319,0.0013211557823037464,0.0015179303971898385,0.005607881986495966,0.006825727642147188,20,0,0.75,22.4,,,,,,29.806783198728226,
NaturalEarth,liang_feature_iki_2017_adaptation,20,0,0.00012107176453209916,0.0002780636443845181,0.0012187929802846946,0.0006826320427417406,0.001275107985970876,0.005167020135651143,20,0,0.85,0.00018016102781074952,0.0012499246077177625,0.021268160609173754,0.026747626728342782,0.4085049673752026,20,0,0.7,20.95,,,,,,21.171399203012697,
NaturalEarth,dung_direct_knot_2017_adaptation,20,0,0.00012808147180253646,0.0002892866955963294,0.0014635365042491126,0.0008219127511799642,0.0019290419721229117,0.007055504048705462,20,0,0.85,0.00013165503304819184,0.0014974813016435827,0.0010880341532795658,0.002455125240550091,0.008797922073727505,20,0,0.75,18.9,,,,,,331.0539581987541,
NaturalEarth,kang_sparse_2015_adaptation,20,0,0.0001500049784623183,0.0004234334268352535,0.0019055508008993243,0.0013714822805045931,0.0032480375054000955,0.013189060995699503,20,0,0.75,0.00015403507828916767,0.0019408575533589045,0.0016668484915830493,0.004273768392762554,0.014041235854514104,20,0,0.7,31.4,,,,,,342.0017186028417,
NaturalEarth,luo_linf_de_2022_adaptation,20,0,0.00013498988753153247,0.000361288207399949,0.0013165516571195662,0.00102635096830229,0.0029574511205632524,0.005820713645001669,20,0,0.75,0.00013882375126979927,0.0013511425149525865,0.0013640285117481265,0.004035395051799607,0.007830546513261545,20,0,0.5,21.6,,,,,,1808.7216266110772,
USGS,ours,20,0,0.00014799548680391813,0.00045499606636006305,0.0005719326643089851,0.0010266272653533632,0.003582531493085586,0.0038634889716616357,20,0,0.4,0.00014963212865822065,0.0005922521400721388,0.0011567329341678823,0.004234247912436608,0.004490548816945213,20,0,0.4,28.8,,,,,,14.21094755,12.64768805
USGS,park_dominant_point_2007_adaptation,20,0,0.00023916912773529067,0.0008129081859520798,0.001265628561224417,0.0022998114595216682,0.007563325130886442,0.010644139398100386,20,0,0.4,0.00024353749439623204,0.0012917822486466714,0.002522371706580963,0.007863702194905947,0.012194394890276572,20,0,0.4,25.15,,,,,,31.830612642806955,
